"ninecode" "natalyr" "sex.use" "nestrec" "surv.ind.to.ad" "brood.date" "sex.use.x1" "f.coef" "foc0" "g1" "natalyr.no"
145162358 1996 1 2202 0 165 1 0.0786819458007812 0.61083984375 0.38916015625 22
145162360 1996 2 2202 1 165 2 0.106369018554688 0.7158203125 0.2841796875 22
145162361 1996 1 2203 0 166 1 0.0640792846679688 0.58056640625 0.41943359375 22
145162362 1996 1 2203 1 166 1 0.0640792846679688 0.58056640625 0.41943359375 22
145162372 1996 1 2208 0 175 1 0.07391357421875 0.6669921875 0.3330078125 22
145162373 1996 1 2208 0 175 1 0.07391357421875 0.6669921875 0.3330078125 22
145162374 1996 2 2183 1 148 2 0.0922765731811523 0.6414794921875 0.3585205078125 22
145162394 1997 1 2248 0 98 1 0 0.311767578125 0.688232421875 23
145162395 1997 2 2248 1 98 2 0 0.311767578125 0.688232421875 23
145162396 1997 1 2302 0 99 1 0.168045043945312 0.5621337890625 0.4378662109375 23
145162398 1997 2 2302 1 99 2 0.0446243286132812 0.45654296875 0.54345703125 23
145162399 1997 1 2302 0 99 1 0.0446243286132812 0.45654296875 0.54345703125 23
145162400 1997 2 2268 0 101 2 0.083369255065918 0.62255859375 0.37744140625 23
145162401 1997 2 2268 1 101 2 0.0906162261962891 0.625244140625 0.374755859375 23
145162402 1997 1 2268 1 101 1 0.083369255065918 0.62255859375 0.37744140625 23
145162405 1997 2 2253 0 104 2 0.0652952194213867 0.52392578125 0.47607421875 23
145162406 1997 1 2246 0 106 1 0.0315704345703125 0.53466796875 0.46533203125 23
145162407 1997 1 2295 0 106 1 0.082798957824707 0.449462890625 0.550537109375 23
145162409 1997 1 2295 0 106 1 0.082798957824707 0.449462890625 0.550537109375 23
145162410 1997 1 2261 0 108 1 0 0.2412109375 0.7587890625 23
145162411 1997 2 2261 0 108 2 0 0.2412109375 0.7587890625 23
145162412 1997 2 2243 0 108 2 0.0908012390136719 0.673095703125 0.326904296875 23
145162413 1997 2 2282 0 110 2 0.0600414276123047 0.453369140625 0.546630859375 23
145162414 1997 1 2282 0 110 1 0.0600414276123047 0.453369140625 0.546630859375 23
145162416 1997 1 2271 0 109 1 0.0730841159820557 0.60064697265625 0.39935302734375 23
145162417 1997 1 2271 0 109 1 0.0730841159820557 0.60064697265625 0.39935302734375 23
145162418 1997 2 2258 0 109 2 0.0668601989746094 0.63623046875 0.36376953125 23
145162419 1997 2 2258 0 109 2 0.0668601989746094 0.63623046875 0.36376953125 23
145162420 1997 2 2227 1 111 2 0.057708740234375 0.58203125 0.41796875 23
145162421 1997 1 2227 0 111 1 0.057708740234375 0.58203125 0.41796875 23
145162424 1997 2 2266 0 111 2 0.0947461128234863 0.64990234375 0.35009765625 23
145162425 1997 1 2266 0 111 1 0.0504951477050781 0.580322265625 0.419677734375 23
145162426 1997 1 2231 0 111 1 0.111124038696289 0.650390625 0.349609375 23
145162427 1997 2 2274 0 111 2 0.1680908203125 0.64990234375 0.35009765625 23
145162429 1997 2 2274 0 111 2 0.1680908203125 0.64990234375 0.35009765625 23
145162430 1997 2 2274 0 111 2 0.1680908203125 0.64990234375 0.35009765625 23
145162433 1997 2 2251 0 111 2 0.0746712684631348 0.5609130859375 0.4390869140625 23
145162434 1997 2 2251 0 111 2 0.0746712684631348 0.5609130859375 0.4390869140625 23
145162435 1997 2 2228 0 111 2 0.0730819702148438 0.6611328125 0.3388671875 23
145162437 1997 1 2228 0 111 1 0.0730819702148438 0.6611328125 0.3388671875 23
145162438 1997 2 2216 1 112 2 0.07391357421875 0.6669921875 0.3330078125 23
145162439 1997 2 2216 0 112 2 0.07391357421875 0.6669921875 0.3330078125 23
145162440 1997 1 2216 1 112 1 0.07391357421875 0.6669921875 0.3330078125 23
145162442 1997 2 2241 1 112 2 0.0831947326660156 0.552001953125 0.447998046875 23
145162443 1997 2 2241 0 112 2 0.063971996307373 0.46044921875 0.53955078125 23
145162444 1997 1 2241 0 112 1 0.063971996307373 0.46044921875 0.53955078125 23
145162445 1997 1 2264 0 113 1 0.069328784942627 0.517578125 0.482421875 23
145162447 1997 1 2264 0 113 1 0.122313022613525 0.5517578125 0.4482421875 23
145162451 1997 2 2223 0 113 2 0.0550155639648438 0.5615234375 0.4384765625 23
145162452 1997 1 2223 1 113 1 0.0550155639648438 0.5615234375 0.4384765625 23
145162453 1997 1 2223 0 113 1 0.0550155639648438 0.5615234375 0.4384765625 23
145162454 1997 2 2223 0 113 2 0.13646125793457 0.624755859375 0.375244140625 23
145162455 1997 2 2305 0 116 2 0.0186843872070312 0.31494140625 0.68505859375 23
145162456 1997 2 2305 0 116 2 0.0186843872070312 0.31494140625 0.68505859375 23
